OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 0003,18,ALU5956,AXG5782
,Block 0004,211,AKL4099,AYV0693
,Block 0005,72,AKN2663,AXG5775
,Block 0006,16,ATS2936,AXG5754
,Block 0007,21,ATS2901,AYU6643
,Block 0008,4,ATZ5138,AXG5670
,Block 0012,1597,AKN2620,AYV0693
,Block 0013,619,AKL4099,AYV0693
,Block 0014,154,AKN2646,AYV0354
,Block 0015,8,ATZ5010,AXG5062
,Block 0016,4462,AKL4099,AZJ6068
,Block 0017,1228,AKN2629,AYV0693
,Block 0018,679,AKN2663,AYV0691
,Block 0019,992,AKN2620,AYV0692
,Block 0020,439,AKN2620,AYV0692
,Block 0021,396,AKN2620,AYV0692
,Block 0022,5,ATZ5036,AXG5782
,Block 0023,53,AKN2646,AYU6648
,Block 0024,27,ATS2932,AXG5478
,Block 0025,144,AKN2663,AYV0354
,Block 0026,2057,AKN2620,AYV0691
,Block 0027,2564,AKL4099,AZJ6068
,Block 0028,288,AKN2646,AYU6645
,Block 0029,969,AKL4099,AZJ6068
,Block 0031,561,AKL4099,AYU6648
,Block 0032,1168,AKN2620,AZJ6068
,Block 0033,19,ATS2900,AXG5773
,Block 0034,5,ATZ5054,AXG5747
,Block 0035,129,AKN2778,AYV0354
,Block 0036,88,ALU5902,AYV0624
,Block 0037,31,ATS2914,AXG5765
,Block 0043,12,AKN2892,AXG5747
,Block 0044,16,ATS2908,AYU6643
,Block 1000,6700,AKL4099,AZJ6068
,Block 1001,6932,AKL4099,AZJ6068
,Block 1002,4691,AKL4099,AZJ6068
,Block 1003,4502,AKN2627,AZJ6067
,Block 1004,4514,AKL4099,AZJ6067
,Block 1005,5866,AKL4099,AZJ6068
,Block 1006,3454,AKL4099,AZJ6067
,Block 1007,4454,AKL4099,AZJ6067
,Block 1008,3171,AKL4099,AZJ6068
,Block 1009,2987,AKL4099,AZJ6068
,Block 1010,3290,AKN2620,AZJ6068
,Block 1011,2422,AKL4099,AZJ6067
,Block 1012,2735,AKL4099,AZJ6068
,Block 1013,2663,AKN2620,AZJ6068
,Block 1014,2001,AKL4099,AZJ6068
,Block 1015,2692,AKN2620,AZJ6068
,Block 1016,1757,AKL4099,AZJ6067
,Block 1017,2118,AKN2627,AZJ6067
,Block 1018,1674,AKL4099,AYV0693
,Block 1019,2134,AKN2627,AZJ6068
,Block 1020,1707,AKL4099,AYV0693
,Block 1021,1793,AKN2620,AZJ6067
,Block 1022,1421,AKL4099,AZJ6068
,Block 1023,1229,AKN2620,AYV0693
,Block 1024,1417,AKN2620,AZJ6067
,Block 1025,1036,AKL4099,AZJ6068
,Block 1026,882,AKN2620,AYV0692
,Block 1027,759,AKN2620,AYV0692
,Block 1028,909,AKN2689,AYV0693
