OID_,NAME10,Cnt_NAME10,First_id,Last_id
,Block 0012,1,AXG5490,AXG5490
,Block 0016,1,AXG5490,AXG5490
,Block 0036,1,AXG4789,AXG4789
,Block 1000,4478,AKL4099,AZJ6068
,Block 1001,4675,AKN2620,AZJ6067
,Block 1002,4582,AKL4099,AZJ6068
,Block 1003,5144,AKL4099,AZJ6068
,Block 1004,5319,AKL4099,AZJ6067
,Block 1005,4379,AKL4099,AZJ6068
,Block 1006,4732,AKL4099,AZJ6068
,Block 1007,4049,AKL4099,AZJ6068
,Block 1008,3510,AKL4099,AZJ6068
,Block 1009,3012,AKL4099,AZJ6067
,Block 1010,3743,AKL4099,AZJ6068
,Block 1011,2858,AKL4099,AZJ6068
,Block 1012,2470,AKN2620,AYV0692
,Block 1013,1930,AKN2620,AZJ6068
,Block 1014,2656,AKL4099,AZJ6068
,Block 1015,2350,AKN2627,AZJ6068
,Block 1016,1913,AKL4099,AZJ6067
,Block 1017,1733,AKN2620,AZJ6068
,Block 1018,1530,AKL4099,AZJ6067
,Block 1019,2046,AKL4099,AZJ6068
,Block 1020,2072,AKL4099,AZJ6068
,Block 1021,1703,AKN2620,AYV0693
,Block 1022,1583,AKL4099,AZJ6067
,Block 1023,1513,AKL4099,AZJ6068
,Block 1024,1848,AKL4099,AZJ6068
,Block 1025,1296,AKN2620,AZJ6067
,Block 1026,623,AKN2630,AYV0690
,Block 1027,722,AKL4099,AZJ6067
,Block 1028,648,AKN2627,AYV0692
,Block 1029,559,AKN2620,AYV0693
,Block 1030,426,AKN2629,AZJ6067
,Block 1031,908,AKN2620,AZJ6068
,Block 1032,875,AKN2620,AZJ6068
,Block 1033,932,AKL4099,AZJ6067
,Block 1034,674,AKN2646,AZJ6067
,Block 1035,715,AKN2620,AYV0689
,Block 1036,660,AKN2692,AYV0692
,Block 1037,469,AKL4099,AZJ6067
,Block 1038,484,AKL4099,AYV0692
,Block 1039,318,AKN2641,AZJ6067
,Block 1040,474,AKL4099,AYV0691
,Block 1041,873,AKL4099,AZJ6067
,Block 1042,589,AKN2643,AYV0693
,Block 1043,529,AKN2689,AZJ6068
,Block 1044,512,AKN2630,AZJ6067
,Block 1045,421,AKN2728,AYV0354
,Block 1046,180,AKN2764,AYV0624
,Block 1047,154,AKN2627,AYU6647
,Block 1048,52,AKN2760,AYU6643
,Block 1049,125,AKN2663,AYU6643
,Block 1050,179,AKL4099,AYV0692
,Block 1051,121,ATS2902,AYU6646
,Block 1052,144,AKN2689,AYV0693
,Block 1053,181,AKN2692,AYV0624
,Block 1054,401,AKN2641,AZJ6067
,Block 1055,400,AKN2627,AYV0693
,Block 1056,402,AKN2685,AZJ6068
,Block 1057,548,AKN2620,AYV0692
,Block 1058,491,AKN2646,AYV0354
,Block 1059,354,AKN2630,AYV0692
,Block 1060,313,AKN2697,AYV0692
,Block 1061,234,AKN2692,AZJ6067
,Block 1062,133,AKN2630,AXG5785
,Block 1063,8,ATZ5046,AXG4888
,Block 1064,139,AKN2689,AYV0690
,Block 1065,466,AKN2643,AYV0691
,Block 1066,698,AKN2643,AYV0693
,Block 1067,391,AKN2641,AYV0691
,Block 1068,342,AKN2627,AYV0692
,Block 1069,319,AKN2760,AZJ6067
,Block 1070,104,AKN2702,AYV0688
,Block 1071,79,AKN2702,AYU6648
,Block 1072,126,AKN2744,AZJ6068
,Block 1073,137,AKN2630,AYV0688
,Block 1074,66,ANK7354,AXG5755
,Block 1075,130,AKN2643,AYV0690
,Block 1076,77,AKN2673,AXS3725
,Block 1078,113,AKN2663,AXG5774
,Block 1079,35,ATS2943,AXS3727
,Block 1080,105,AKN2728,AYV0691
,Block 1081,19,ATZ5008,AXG5496
,Block 1082,13,ATS2903,AXG5635
,Block 2000,4528,AKL4099,AZJ6068
,Block 2001,4300,AKL4099,AZJ6068
,Block 2002,4504,AKL4099,AZJ6068
,Block 2003,5554,AKL4099,AZJ6068
,Block 2004,4427,AKL4099,AZJ6068
,Block 2005,4836,AKL4099,AZJ6068
,Block 2006,4667,AKL4099,AZJ6067
,Block 2007,5285,AKL4099,AZJ6068
,Block 2008,4828,AKL4099,AZJ6068
,Block 2009,4620,AKL4099,AZJ6068
,Block 2010,4138,AKL4099,AZJ6068
,Block 2011,4061,AKL4099,AZJ6067
,Block 2012,3733,AKL4099,AZJ6068
,Block 2013,2761,AKL4099,AZJ6067
,Block 2014,3481,AKL4099,AZJ6068
,Block 2015,3003,AKN2620,AZJ6068
,Block 2016,2887,AKL4099,AZJ6067
,Block 2017,1902,AKL4099,AZJ6068
,Block 2018,1491,AKL4099,AZJ6067
,Block 2019,1541,AKL4099,AZJ6068
,Block 2020,1713,AKN2620,AZJ6067
,Block 2021,1965,AKL4099,AZJ6067
,Block 2022,1479,AKL4099,AZJ6068
,Block 2023,1759,AKN2620,AZJ6068
,Block 2024,1528,AKL4099,AYV0693
,Block 2025,1527,AKL4099,AZJ6068
