,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,3.0,0.0,-1.0,6.0,2.0,5.0,30.0,38.0,82.0,16.0,-13.0,-4.0,-14.0,1.0,-10.0,-37.0,-62.0,-17.0,-12.0,-4.0,-2.0,-4.0,3.0,-4.0
2,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0,-1.0,0.0,0.0,2.0,-2.0,-1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,-1.0,-2.0,0.0,0.0
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,-1.0,0.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,1.0,0.0,0.0,-1.0,-1.0,-3.0,-2.0,-1.0,0.0,0.0,2.0,0.0,-1.0,-1.0,1.0,0.0,3.0,0.0,3.0,1.0,1.0,-1.0
21,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0
32,11.0,13.0,3.0,1.0,0.0,-6.0,-9.0,-11.0,-8.0,-1.0,-2.0,-2.0,2.0,0.0,-2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,-1.0,5.0
33,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-2.0,3.0,1.0,-2.0,0.0,1.0,0.0,0.0,1.0,0.0,-3.0,0.0,1.0,2.0,0.0,0.0,-1.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-1.0,2.0,0.0,0.0,0.0,-5.0,-2.0,0.0,0.0,0.0,-2.0,2.0,-3.0,1.0,3.0,0.0,-3.0,-1.0,-3.0,1.0,1.0,3.0,2.0,5.0
43,4.0,-2.0,-2.0,0.0,0.0,-3.0,-4.0,-14.0,-9.0,-4.0,-2.0,3.0,2.0,3.0,-1.0,4.0,3.0,-5.0,4.0,6.0,5.0,7.0,6.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,-2.0,-3.0,-3.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,0.0,0.0
49,1.0,0.0,0.0,0.0,-1.0,0.0,-9.0,0.0,-1.0,-1.0,1.0,-2.0,-1.0,-1.0,2.0,-1.0,-1.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-4.0,-3.0,-2.0,2.0,0.0,-1.0,-2.0,2.0,8.0,-1.0,-2.0,1.0,8.0,-2.0,-3.0,-1.0,0.0
